hospital_name,source_format,procedure,description,billing_class,modifiers,setting,payer_name,plan_name,gross_charge,price_type,resolved_price,reliability_flag
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"AMERIGROUP [102]","AMERIGROUP: AMBH PEACHCARE",2996.0,negotiated_dollar,1378.98,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"AMERIGROUP [102]","AMERIGROUP: AMBH MCAID",2996.0,negotiated_dollar,1378.98,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"CARESOURCE [61]","CARESOURCE: AMBH MCAID",2996.0,negotiated_dollar,1316.3,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"CARESOURCE [61]","CARESOURCE: AMBH PEACHCARE",2996.0,negotiated_dollar,1316.3,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"PEACHSTATE [43]","PEACH STATE: AMBH PEACHCARE",2996.0,negotiated_dollar,1280.33,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"PEACHSTATE [43]","PEACH STATE: AMBH MCAID",2996.0,negotiated_dollar,1280.33,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"AETNA [1]","AETNA HMO/POS & PPO: CHILDREN'S",2996.0,negotiated_dollar,2016.31,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"AMBETTER PEACHSTATE [227]","AMBETTER: CHILDREN'S",2996.0,negotiated_dollar,2005.82,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"BLUE CROSS [2]","BCBS HMO/PPO/POS: CHILDREN'S",2996.0,negotiated_dollar,1987.85,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"BLUE CROSS COMM/INDEMNITY [121]","BCBS PAR: CHILDREN'S",2996.0,negotiated_dollar,2924.7,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"CARESOURCE MARKETPLACE BRONZE/SILVER/GOLD [60]","CARESOURCE MARKETPLACE: CHILDREN'S",2996.0,negotiated_dollar,2035.78,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"CIGNA [3]","CIGNA HMO/POS & PPO: CHILDREN'S",2996.0,negotiated_dollar,1980.36,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"BEECH STREET [71]","BEECH STREET PPO: CHILDREN'S",2996.0,negotiated_dollar,2696.4,reliable
"Arthur M. Blank Hospital",csv_flat,"Cardiac Stress Test","Cardiac Stress Test","","",outpatient,"COVENTRY [9]","COVENTRY NATIONAL NETWORK: CHILDREN'S",2996.0,negotiated_dollar,2102.59,reliable
