hospital_name,description,ndc_code,revenue_code,cdm_code,hcpcs_code,cpt_code,drg_code,drug_unit,drug_unit_type,billing_class,modifiers,setting,gross_charge,discounted_cash,minimum_charge,maximum_charge,payer_name,plan_name,negotiated_price,negotiated_percentage,median_amount,price_type,resolved_price,methodology
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,1378.98,46.0274,1313.63,negotiated_dollar,1378.98,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,1378.98,46.0274,1313.63,negotiated_dollar,1378.98,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,CARESOURCE [61],CARESOURCE: AMBH MCAID,1316.3,43.9353,1253.92,negotiated_dollar,1316.3,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,CARESOURCE [61],CARESOURCE: AMBH PEACHCARE,1316.3,43.9353,1253.92,negotiated_dollar,1316.3,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,PEACHSTATE [43],PEACH STATE: AMBH PEACHCARE,1280.33,42.7346,,negotiated_dollar,1280.33,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,PEACHSTATE [43],PEACH STATE: AMBH MCAID,1280.33,42.7346,1452.55,negotiated_dollar,1280.33,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,AETNA [1],AETNA HMO/POS & PPO: CHILDREN'S,2016.31,67.3,1920.74,negotiated_dollar,2016.31,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,AMBETTER PEACHSTATE [227],AMBETTER: CHILDREN'S,2005.82,66.95,1910.75,negotiated_dollar,2005.82,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,BLUE CROSS [2],BCBS HMO/PPO/POS: CHILDREN'S,1987.85,66.35,1877.93,negotiated_dollar,1987.85,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,BLUE CROSS COMM/INDEMNITY [121],BCBS PAR: CHILDREN'S,2924.7,97.62,,negotiated_dollar,2924.7,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,CARESOURCE MARKETPLACE BRONZE/SILVER/GOLD [60],CARESOURCE MARKETPLACE: CHILDREN'S,2035.78,67.95,,negotiated_dollar,2035.78,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,CIGNA [3],CIGNA HMO/POS & PPO: CHILDREN'S,1980.36,66.1,1886.49,negotiated_dollar,1980.36,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,BEECH STREET [71],BEECH STREET PPO: CHILDREN'S,2696.4,90,,negotiated_dollar,2696.4,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,COVENTRY [9],COVENTRY NATIONAL NETWORK: CHILDREN'S,2102.59,70.18,,negotiated_dollar,2102.59,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,DIRECT EMPLOYER AGREEMENTS [72],CHEROKEE COUNTY: CHILDREN'S,2097.2,70,,negotiated_dollar,2097.2,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,FIRST HEALTH [74],COVENTRY FIRST HEALTH NETWORK: CHILDREN'S,2248.8,75.06,,negotiated_dollar,2248.8,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,KAISER [6],KAISER HMO/POS PPO & EPO: CHILDREN'S,2039.98,68.09,1943.29,negotiated_dollar,2039.98,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,NORTHEAST GEORGIA HEATLH SYSTEM [808],NORTHEAST GEORGIA HEALTH PARTNERS PPO: CHILDREN'S,2247,75,2247,negotiated_dollar,2247,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,DIRECT EMPLOYER AGREEMENTS [72],NORTHSIDE DIRECT: CHILDREN'S,2097.2,70,,negotiated_dollar,2097.2,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,DIRECT EMPLOYER AGREEMENTS [72],QUIKTRIP: CHILDREN'S,2546.6,85,,negotiated_dollar,2546.6,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,MULTIPLAN [92],MULTIPLAN PPO: CHILDREN'S,2936.08,98,,negotiated_dollar,2936.08,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,OSCAR [228],OSCAR HEALTH PLAN: CHILDREN'S,2007.32,67,,negotiated_dollar,2007.32,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,PHCS [93],PHCS PPO: CHILDREN'S,2546.6,85,,negotiated_dollar,2546.6,percent of total billed charges
Arthur M. Blank Hospital,Cardiac Stress Test,,482,PX-48021000,,93017,,,,,,outpatient,2996,2996,1280.33,2996,SECURE HEALTH [340],SECURE HEALTH: CHILDREN'S,2546.6,85,,negotiated_dollar,2546.6,percent of total billed charges
