hospital_name,description,ndc_code,revenue_code,cdm_code,hcpcs_code,cpt_code,drg_code,drug_unit,drug_unit_type,setting,gross_charge,discounted_cash,minimum_charge,maximum_charge,payer_name,plan_name,negotiated_price,negotiated_percentage,median_amount,price_type,resolved_price,methodology
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,inpatient,4026,4026,2415.6,3220.8,Anthem BCBS,HPN,3220.8,80,,negotiated_dollar,3220.8,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,inpatient,4026,4026,2415.6,3220.8,Kaiser,Commercial,3051.71,75.8,,negotiated_dollar,3051.71,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,inpatient,4026,4026,2415.6,3220.8,Multiplan,Commercial,3100.02,77,,negotiated_dollar,3100.02,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,inpatient,4026,4026,2415.6,3220.8,USP Naphcare,Commercial,2415.6,60,,negotiated_dollar,2415.6,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,outpatient,4026,4026,595.85,3220.8,Aetna,Commercial,1791.57,44.5,,negotiated_dollar,1791.57,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,outpatient,4026,4026,595.85,3220.8,Aetna,Medicare,1409.1,35,,negotiated_dollar,1409.1,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,outpatient,4026,4026,595.85,3220.8,Ambetter,Marketplace,595.85,14.8,,negotiated_dollar,595.85,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,outpatient,4026,4026,595.85,3220.8,Amerigroup,Medicaid,654.63,16.26,,negotiated_dollar,654.63,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,outpatient,4026,4026,595.85,3220.8,Anthem BCBS,HMO/POS,2948.64,73.24,,negotiated_dollar,2948.64,percent of total billed charges
Grady Memorial Hospital,Head/Brain CT W/O Dye Ect,,351,35100001,,70450,,,,outpatient,4026,4026,595.85,3220.8,Anthem BCBS,HPN,3220.8,80,,negotiated_dollar,3220.8,percent of total billed charges
