hospital_name,description,ndc_code,revenue_code,cdm_code,hcpcs_code,cpt_code,drg_code,drug_unit,drug_unit_type,setting,gross_charge,discounted_cash,minimum_charge,maximum_charge,payer_name,plan_name,negotiated_price,negotiated_percentage,median_amount,price_type,resolved_price,methodology
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,BCBS,BCBS PRUDT BUYER,144.98,,,negotiated_dollar,144.98,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,Beech Steet,Beech Street,176.8,,,negotiated_dollar,176.8,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,CareIQ,CareIQ,208.0,,,negotiated_dollar,208.0,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,CareSource,CareSource MarketPlace,77.38,,,negotiated_dollar,77.38,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,Dekalb_Department of Health,Dekalb_Department of Health,208.0,,,negotiated_dollar,208.0,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,FIFA,FIFA,208.0,,,negotiated_dollar,208.0,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,Coventry,First Health and Coventry National,141.44,,,negotiated_dollar,141.44,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,Georgia Reproductive Specialists,Georgia Reproductive Specialists (SGF),83.2,,,negotiated_dollar,83.2,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,Multiplan,Multiplan PPO,176.8,,,negotiated_dollar,176.8,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,Multiplan Workers Comp,Multiplan Workers Comp,176.8,,,negotiated_dollar,176.8,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,NovaNet_PPO,NovaNet_PPO,145.6,,,negotiated_dollar,145.6,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,Quick Trip,Quick Trip,114.4,,,negotiated_dollar,114.4,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,inpatient,208.0,156.0,77.38,208.0,Rabun County BOC,Rabun County BOC,208.0,,,negotiated_dollar,208.0,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Aetna,Aetna HMO/POS/PPO,141.44,,,negotiated_dollar,141.44,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Aetna,Aetna HMO/POS/PPO-G,141.44,,,negotiated_dollar,141.44,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Aetna,Aetna HMO/POS/PPO-Q,141.44,,,negotiated_dollar,141.44,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Aetna,Aetna Whole Health,104.0,,,negotiated_dollar,104.0,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Aetna,Aetna Whole Health-G,104.0,,,negotiated_dollar,104.0,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Centene,Ambetter PAR,97.76,,,negotiated_dollar,97.76,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Coventry,First Health and Coventry National,124.8,,,negotiated_dollar,124.8,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Georgia Reproductive Specialists,Georgia Reproductive Specialists (SGF),83.2,,,negotiated_dollar,83.2,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,BCBS,BCBS_HMO,116.27,,,negotiated_dollar,116.27,other
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,BCBS,BCBS_HMO-L,116.27,,,negotiated_dollar,116.27,other
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Multiplan Workers Comp,Multiplan Workers Comp,176.8,,,negotiated_dollar,176.8,percent of total billed charges
Northside Hospital Atlanta,0.45  NS 500ML IV BAG,00338004303,0250,7307176,,,,500.0,ML,outpatient,208.0,156.0,33.63,208.0,Northside Health Network,Northside Health Network,128.96,,,negotiated_dollar,128.96,percent of total billed charges
