hospital_name,description,ndc_code,revenue_code,cdm_code,hcpcs_code,cpt_code,drg_code,drug_unit,drug_unit_type,billing_class,modifiers,setting,gross_charge,discounted_cash,minimum_charge,maximum_charge,payer_name,plan_name,negotiated_price,negotiated_percentage,median_amount,price_type,resolved_price,methodology
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,BEECHSTREET [10800],Beechstreet,2897.84,80,,negotiated_dollar,2897.84,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,PEACH STATE MEDICAID [20101],Peach State Medicaid,433.95,11.98,461.21,negotiated_dollar,433.95,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,AETNA [10100],Aetna PPO,2644.28,73,2644.28,negotiated_dollar,2644.28,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,FIRST HEALTH [10303],First Health,2535.61,70,,negotiated_dollar,2535.61,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,NOVANET [10819],Novanet,2716.73,75,,negotiated_dollar,2716.73,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,UNITED HEALTHCARE EXCHANGE  [11110],United Healthcare Exchange,1394,,,negotiated_dollar,1394,per diem
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,PHCS [10601],PHCS,2535.61,70,,negotiated_dollar,2535.61,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,CIGNA [10200],Cigna,2463.16,68,2355.31,negotiated_dollar,2463.16,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,ALLIANT HEALTH PLANS OF GEORGIA [10952],Alliant,2463.16,68,,negotiated_dollar,2463.16,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,,,BLUE CROSS [10001],Blue Cross PPO,,,2484.90,median_estimate,2484.90,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,CIGNA GEORGIA CIGNA CONNECT  [11107],Cigna Connect,1760.44,48.6,1760.44,negotiated_dollar,1760.44,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,AMERIGROUP MEDICAID [20100],Amerigroup,413.3,11.41,439.16,negotiated_dollar,413.3,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,,,BLUE CROSS [10001],Blue Cross HMO,,,2484.90,median_estimate,2484.90,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,MULTIPLAN [10600],Multiplan,3078.96,85,,negotiated_dollar,3078.96,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,AETNA [10100],Aetna HMO,2644.28,73,2644.28,negotiated_dollar,2644.28,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,KAISER [10500],Kaiser,2680.5,74,2680.50,negotiated_dollar,2680.5,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,CARESOURCE MEDICAID [20104],Caresource Medicaid,433.95,11.98,2305.60,negotiated_dollar,433.95,percent of total billed charges
Piedmont Atlanta Hospital,HC Stress Test Trace Only,,0482,PX-482000001,,93017,,,,,,both,3622.30,1086.69,413.3,3078.96,UHC [10700],United Healthcare,2144,,2144.00,negotiated_dollar,2144,per diem
