hospital_name,description,ndc_code,revenue_code,cdm_code,hcpcs_code,cpt_code,drg_code,drug_unit,drug_unit_type,setting,gross_charge,discounted_cash,minimum_charge,maximum_charge,payer_name,plan_name,negotiated_price,negotiated_percentage,median_amount,price_type,resolved_price,methodology
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Amerigroup,Medicaid Managed Care Plan,,,8270,median_estimate,8270,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Bcbs,Hmo/Pos,,,28338,median_estimate,28338,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Bcbs,Ppo,,,29200,median_estimate,29200,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Bcbs,Shbp Other Commercial Plan,,,31103,median_estimate,31103,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Bcbs,Medicare Managed Care Plan,,,7785,median_estimate,7785,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Caresource,Exchange,,,,unavailable,,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Caresource,Medicare Managed Care Plan,,,,unavailable,,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Caresource,Peachcare For Kids Medicaid Managed Care Plan,,,,unavailable,,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Cigna,Medicare Managed Care Plan,,,7901,median_estimate,7901,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Cigna,Hmo,,,18793,median_estimate,18793,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Cigna,Ppo,,,21818,median_estimate,21818,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Cigna,Individual Family Plan Exchange,,,,unavailable,,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Clear Spring,Medicare Managed Care Plan,,,,unavailable,,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Clover,Medicare Managed Care Plan,,,7964,median_estimate,7964,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Humana,Medicare Managed Care Plan,,,10575,median_estimate,10575,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Oscar Healthplan,Exchange,,,20190,median_estimate,20190,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Peachstate,Ambetter Exchange,,,18356,median_estimate,18356,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Peachstate,Medicaid Managed Care Plan,,,,unavailable,,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Pruitt,Medicare Managed Care Plan,,,,unavailable,,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Sonder,Medicare Managed Care Plan,,,6453,median_estimate,6453,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,United American Insurance Company,Medicare Managed Care Plan,,,,unavailable,,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Unitedhealthcare,Medicare Managed Care Plan,,,7611,median_estimate,7611,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Unitedhealthcare,All Commercial Plans,,,16640,median_estimate,16640,other
Wellstar Kennestone Hospital,"Inj, bupivacaine liposome",,,,,,,,,outpatient,,,,,Wellcare,Medicare Managed Care Plan,,,,unavailable,,other
Wellstar Kennestone Hospital,Ketorolac tromethamine inj,,,,,,,,,outpatient,,,,,Aetna,Hmo/Pos/Ppo,,,4800,median_estimate,4800,other
