description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,standard_charge | min,standard_charge | max,median_amount,10th_percentile,90th_percentile,count,standard_charge|methodology,additional_generic_notes
"OTHER OPEN CRANIOTOMY,MINOR",27,APR-DRG,,,,,,,,inpatient,,,44541,44541,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,16544.62,37.1447,,14386.65,16564.8,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER OPEN CRANIOTOMY,MINOR",27,APR-DRG,,,,,,,,inpatient,,,44541,44541,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,14386.65,32.2998,,14386.65,16564.8,,,,0,percent of total billed charges,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER OPEN CRANIOTOMY,MODERATE",27,APR-DRG,,,,,,,,inpatient,,,97597,97597,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,40077.08,46.0274,,34849.62,41991.12,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER OPEN CRANIOTOMY,MODERATE",27,APR-DRG,,,,,,,,inpatient,,,97597,97597,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,34849.62,46.0274,,34849.62,41991.12,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER OPEN CRANIOTOMY,EXTREME",27,APR-DRG,,,,,,,,inpatient,,,164725,164725,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,100376.5,46.0274,,87283.89,100376.5,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER OPEN CRANIOTOMY,EXTREME",27,APR-DRG,,,,,,,,inpatient,,,164725,164725,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,87283.89,46.0274,,87283.89,100376.5,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,MINOR",29,APR-DRG,,,,,,,,inpatient,,,298662,298662,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,35016.71,46.0274,"Fee schedule rate ($35,016.71). The outlier payment amount is calculated as the estimated cost amount minus the DRG reimbursement amount ($70,133.05) where the difference is multiplied by the percent of outlier that is reimbursed (99.9%). If the calculated outlier amount is greater than 0, it is added to the reimbursement total. The estimated cost amount is the adjusted billed amount multiplied by the cost-to-charge ratio (0.2887). The following revenue codes are excluded from the adjusted billed amount: RC 0940.",30449.31,35016.71,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,MINOR",29,APR-DRG,,,,,,,,inpatient,,,298662,298662,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,30449.31,46.0274,"Fee schedule rate ($30,449.31). The outlier payment amount is calculated as the estimated cost amount minus the DRG reimbursement amount ($70,133.05) where the difference is multiplied by the percent of outlier that is reimbursed (99.9%). If the calculated outlier amount is greater than 0, it is added to the reimbursement total. The estimated cost amount is the adjusted billed amount multiplied by the cost-to-charge ratio (0.2887). The following revenue codes are excluded from the adjusted billed amount: RC 0940.",30449.31,35016.71,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,MODERATE",29,APR-DRG,,,,,,,,inpatient,,,118381,118381,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,37042.39,46.0274,,32210.76,38811.49,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,MODERATE",29,APR-DRG,,,,,,,,inpatient,,,118381,118381,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,32210.76,46.0274,,32210.76,38811.49,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,MAJOR",29,APR-DRG,,,,,,,,inpatient,,,71418,71418,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,47255.03,46.0274,,41091.32,47255.03,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,MAJOR",29,APR-DRG,,,,,,,,inpatient,,,71418,71418,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,41091.32,46.0274,,41091.32,47255.03,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"PERCUTANEOUS INTRACRANIAL AND EXTRACRANIAL VASCULAR PROCEDURES,MODERATE",30,APR-DRG,,,,,,,,inpatient,,,101160,101160,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,59843.06,46.0274,,59843.06,59843.06,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"PERCUTANEOUS INTRACRANIAL AND EXTRACRANIAL VASCULAR PROCEDURES,MODERATE",30,APR-DRG,,,,,,,,inpatient,,,101160,101160,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,59843.06,46.0274,,59843.06,59843.06,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"ALLOGENEIC BONE MARROW TRANSPLANT,MAJOR",7,APR-DRG,,,,,,,,inpatient,,,1020594,1020594,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,135143.05,46.0274,"Fee schedule rate ($135,143.05). The outlier payment amount is calculated as the estimated cost amount minus the DRG reimbursement amount ($293,837.01) where the difference is multiplied by the percent of outlier that is reimbursed (99.9%). If the calculated outlier amount is greater than 0, it is added to the reimbursement total. The estimated cost amount is the adjusted billed amount multiplied by the cost-to-charge ratio (0.2887). The following revenue codes are excluded from the adjusted billed amount: RC 0940.",135143.05,135143.05,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"ALLOGENEIC BONE MARROW TRANSPLANT,MAJOR",7,APR-DRG,,,,,,,,inpatient,,,1020594,1020594,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,135143.05,46.0274,"Fee schedule rate ($135,143.05). The outlier payment amount is calculated as the estimated cost amount minus the DRG reimbursement amount ($293,837.01) where the difference is multiplied by the percent of outlier that is reimbursed (99.9%). If the calculated outlier amount is greater than 0, it is added to the reimbursement total. The estimated cost amount is the adjusted billed amount multiplied by the cost-to-charge ratio (0.2887). The following revenue codes are excluded from the adjusted billed amount: RC 0940.",135143.05,135143.05,246043.54,246043.54,246043.54,1 through 10,case rate,"Note, depending on the cost of the service Childrens may have more than one charge for the same HCPCS code."
"ALLOGENEIC BONE MARROW TRANSPLANT,EXTREME",7,APR-DRG,,,,,,,,inpatient,,,1316408,1316408,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,246043.47,46.0274,,246043.47,246043.47,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"ALLOGENEIC BONE MARROW TRANSPLANT,EXTREME",7,APR-DRG,,,,,,,,inpatient,,,1316408,1316408,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,246043.47,46.0274,,246043.47,246043.47,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"AUTOLOGOUS BONE MARROW TRANSPLANT,MAJOR",8,APR-DRG,,,,,,,,inpatient,,,339496,339496,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,131686.69,46.0274,,131686.69,131686.69,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"AUTOLOGOUS BONE MARROW TRANSPLANT,MAJOR",8,APR-DRG,,,,,,,,inpatient,,,339496,339496,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,131686.69,46.0274,,131686.69,131686.69,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"AUTOLOGOUS BONE MARROW TRANSPLANT,EXTREME",8,APR-DRG,,,,,,,,inpatient,,,435917,435917,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,131686.69,46.0274,,131686.69,137975.93,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"AUTOLOGOUS BONE MARROW TRANSPLANT,EXTREME",8,APR-DRG,,,,,,,,inpatient,,,435917,435917,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,131686.69,46.0274,,131686.69,137975.93,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),MAJOR",9,APR-DRG,,,,,,,,inpatient,,,308026,308026,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,114598.19,46.0274,,114598.19,114598.19,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),MAJOR",9,APR-DRG,,,,,,,,inpatient,,,308026,308026,AMERIGROUP [102],AMERIGROUP: AMBH MCAID,114598.19,46.0274,,114598.19,114598.19,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
"EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),EXTREME",9,APR-DRG,,,,,,,,inpatient,,,1121949,1121949,AMERIGROUP [102],AMERIGROUP: AMBH PEACHCARE,465854.83,46.0274,,465854.83,465854.83,,,,0,case rate,Zero final payments for the item or service in the 15 months prior to posting the file.
