"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","billing_class","setting","drug_unit_of_measurement","drug_type_of_measurement","modifiers","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|methodology","standard_charge|min","standard_charge|max","additional_generic_notes"
"Hc Cardiac Stress Tst,Tracing Only","4829301701","CDM","482","RC","93017","HCPCS",,,"facility","both",,,,"1034","1034",,,,,,,,,,,,,
"Hc Cardiac Stress Tst,Tracing Only - Stress Test Only, Exercise","4829301702","CDM","482","RC","93017","HCPCS",,,"facility","both",,,,"1034","1034",,,,,,,,,,,,,
"Hc Cardiovascular Stress Test - Stress Test Only, Dobutamine","4829301704","CDM","482","RC","93017","HCPCS",,,"facility","both",,,,"1034","1034",,,,,,,,,,,,,
"Hc Ekg Stress Test Lexiscan","4829301752","CDM","302","RC","93017","HCPCS",,,"facility","both",,,,"1034","1034",,,,,,,,,,,,,
"Cardiovascular stress test","93017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","220.91",,,,,,,"fee schedule","216.58","459.14","APC"
"Cardiovascular stress test","93017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","459.14",,,,,,,"fee schedule","216.58","459.14","APC"
"Cardiovascular stress test","93017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","218.74",,,,,,,"fee schedule","216.58","459.14","APC"
"Cardiovascular stress test","93017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","223.07",,,,,,,"fee schedule","216.58","459.14","APC"
"Cardiovascular stress test","93017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","227.41",,,,,,,"fee schedule","216.58","459.14","APC"
"Cardiovascular stress test","93017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","216.58",,,,,,,"fee schedule","216.58","459.14","APC"
"Cardiovascular stress test","93017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","229.57",,,,,,,"fee schedule","216.58","459.14","APC"
