description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,median_amount,10th_percentile,90th_percentile,count,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"BEECHSTREET [10800]",Beechstreet,,3710.88,80,,,,,0,555.7,4638.6,"percent of total billed charges","Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"BLUE CROSS [10001]","Blue Cross HMO",,4395.11,,"Case rate ($4,395.11). The procedures on each service date are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 999 procedures at 25%.",4395.11,4395.11,4395.11,"1 through 10",555.7,4638.6,"fee schedule",
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"CIGNA [10200]",Cigna,,4586,,"Case rate ($4,586). The procedures on each service date are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 999 procedures at 25%.",4347.00,2471.87,4347.00,15,555.7,4638.6,"fee schedule",
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"FIRST HEALTH [10303]","First Health",,3247.02,70,,,,,0,555.7,4638.6,"percent of total billed charges","Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"MULTIPLAN [10600]",Multiplan,,3942.81,85,,,,,0,555.7,4638.6,"percent of total billed charges","Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"UHC [10700]","United Healthcare",,3792,,"Case rate ($3,792). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 1 procedures at 25%.",3487.00,948.00,3792.00,20,555.7,4638.6,"fee schedule",
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"ALLIANT HEALTH PLANS OF GEORGIA [10952]",Alliant,,4638.6,,"Case rate ($4,656). The procedures on each service date are sorted highest to lowest by case rate and reimbursed, rounded to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 999 procedures at 25%.",,,,0,555.7,4638.6,"fee schedule","Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"CIGNA GEORGIA CIGNA CONNECT  [11107]","Cigna Connect",,3155,,"Case rate ($3,155). The procedures on each service date are sorted highest to lowest by case rate and reimbursed, rounded to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 999 procedures at 25%.",2935.00,2935.00,3155.00,"1 through 10",555.7,4638.6,"fee schedule",
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"KAISER [10500]",Kaiser,,3432.56,74,,3813.96,3432.56,3813.96,"1 through 10",555.7,4638.6,"percent of total billed charges",
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"BLUE CROSS [10001]","Blue Cross PPO",,4638.6,,"Case rate ($4,819.75). The procedures on each service date are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 999 procedures at 25%.",4819.75,4181.44,4819.75,"1 through 10",555.7,4638.6,"fee schedule",
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"AMERIGROUP MEDICAID [20100]",Amerigroup,,572.83,,"Case rate ($572.83). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 25 procedures at 0%.",,,,0,555.7,4638.6,other,"OP SURGERY Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"AETNA [10100]","Aetna PPO",,3127,,"Case rate ($3,127). The procedures on each service date are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 999 procedures at 25%.",,,,0,555.7,4638.6,"fee schedule","Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"PEACH STATE MEDICAID [20101]","Peach State Medicaid",,555.7,11.98,"11.98% of billed. If the accumulated reimbursement, defined as the sum of reimbursement for non-excluded claim lines that have certain procedure codes, plus the current reimbursement is less than a reimbursement limit defined as $7,806.64, reimbursement remains unchanged. Otherwise, calculate the remaining allowable amount as the reimbursement limit minus the accumulated reimbursement. If the remaining allowable amount is less than zero, reimbursement equals zero. Otherwise, reimbursement equals the remaining allowable amount.",555.56,555.56,555.56,"1 through 10",555.7,4638.6,"percent of total billed charges",
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"CARESOURCE MEDICAID [20104]","Caresource Medicaid",,555.7,11.98,"11.98% of billed. If the accumulated reimbursement, defined as the sum of reimbursement for non-excluded claim lines that have certain procedure codes, plus the current reimbursement is less than a reimbursement limit defined as $7,806.64, reimbursement remains unchanged. Otherwise, calculate the remaining allowable amount as the reimbursement limit minus the accumulated reimbursement. If the remaining allowable amount is less than zero, reimbursement equals zero. Otherwise, reimbursement equals the remaining allowable amount.",,,,0,555.7,4638.6,"percent of total billed charges","Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"AETNA [10100]","Aetna HMO",,3127,,"Case rate ($3,127). The procedures on each service date are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 999 procedures at 25%.",1475.00,1475.00,2950.00,35,555.7,4638.6,"fee schedule",
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"PHCS [10601]",PHCS,,4638.6,,"Case rate ($6,277). The procedures on each service date are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 999 procedures at 50%.",,,,0,555.7,4638.6,"fee schedule","Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"NOVANET [10819]",Novanet,,3478.95,75,,,,,0,555.7,4638.6,"percent of total billed charges","Zero final payments for the item or service in the 15 months prior to posting the file."
"HC Colonoscopy Bx",PX-750000089,CDM,45380,CPT,0750,RC,,,both,,,4638.60,1391.58,"UNITED HEALTHCARE EXCHANGE  [11110]","United Healthcare Exchange",,2465,,"Case rate ($2,465). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 100%, 1 procedures at 50%, 1 procedures at 25%.",2465.00,2465.00,2465.00,"1 through 10",555.7,4638.6,"fee schedule",
