"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","billing_class","setting","drug_unit_of_measurement","drug_type_of_measurement","modifiers","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|methodology","standard_charge|min","standard_charge|max","additional_generic_notes"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Hmo/Pos/Ppo","4714","","","","","","","fee schedule","1215.44","5272",""
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Alliant Health Plan","Ppo","1694","","","","","","","fee schedule","1215.44","5272",""
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","3437","","","","","","","fee schedule","1215.44","5272",""
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","All Commercial Plans","5272","","","","","","","fee schedule","1215.44","5272",""
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Hmo/Pos","4562.72","","","","","","","fee schedule","1215.44","5272","APC 338.11"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Shbp Other Commercial Plan","3601.35","","","","","","","fee schedule","1215.44","5272","APC 266.87"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","1215.44","","","","","","","fee schedule","1215.44","5272","APC"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Ambetter","Select Exchange","2139.18","","","","","","","fee schedule","1215.44","5272","APC"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","1239.75","","","","","","","fee schedule","1215.44","5272","APC"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Exchange","2382.27","","","","","","","fee schedule","1215.44","5272","APC"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Caresource","Medicare Managed Care Plan","1300.53","","","","","","","fee schedule","1215.44","5272","APC"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","1276.22","","","","","","","fee schedule","1215.44","5272","APC"
"Colonoscopy and biopsy","45380","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar Healthplan","Exchange","2248.57","","","","","","","fee schedule","1215.44","5272","APC"
